source_file,dataset_provenance,value_extraction_type,primary_source_verification_status,public_release_tier,record_count,publication_count,measurement_count
20210409_Metaanalysis_database.xlsx,author_curated_published_compilation,author_curated_compilation,verified_against_primary_source,peer_reviewed_contextual_comparator,271,62,546
20210409_Metaanalysis_database.xlsx,author_curated_published_compilation,author_curated_compilation,verified_against_primary_source,peer_reviewed_research,967,192,3647
New G fibre table Juan.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,peer_reviewed_research,3,3,12
RadarFigureSource.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,commercial_contextual_comparator,3,3,24
RadarFigureSource.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,peer_reviewed_research,21,8,187
XiaO_DATA.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,commercial_contextual_comparator,60,8,612
XiaO_DATA.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,peer_reviewed_contextual_comparator,10,2,98
XiaO_DATA.xlsx,source_table_or_direct_extraction,direct_or_source_table,not_assessed,peer_reviewed_research,20,15,169
literature_addendum_records.tsv,source_table_or_direct_extraction,direct_or_source_table,verified_against_primary_source,peer_reviewed_research,8,3,42
