material_family,property,field,records_with_value,records_total,coverage_fraction
polymer_fiber_comparator,density,density_kg_m3,27,98,0.2755
polymer_fiber_comparator,specific_volume,specific_volume_m3_kg,27,98,0.2755
polymer_fiber_comparator,diameter,diameter_m,5,98,0.051
polymer_fiber_comparator,linear_density,linear_density_kg_m,6,98,0.0612
polymer_fiber_comparator,specific_strength,specific_strength_N_m_kg,24,98,0.2449
polymer_fiber_comparator,tensile_strength,tensile_strength_Pa,32,98,0.3265
polymer_fiber_comparator,specific_modulus,specific_modulus_N_m_kg,20,98,0.2041
polymer_fiber_comparator,initial_modulus,initial_modulus_Pa,32,98,0.3265
polymer_fiber_comparator,breaking_strain,breaking_strain_fraction,20,98,0.2041
polymer_fiber_comparator,work_of_rupture,rupture_work_J_kg,8,98,0.0816
polymer_fiber_comparator,electrical_conductivity,electrical_conductivity_S_m,67,98,0.6837
polymer_fiber_comparator,specific_electrical_conductivity,specific_electrical_conductivity_S_m2_kg,7,98,0.0714
polymer_fiber_comparator,thermal_conductivity,thermal_conductivity_W_mK,11,98,0.1122
polymer_fiber_comparator,specific_thermal_conductivity,specific_thermal_conductivity_W_m2_K_kg,10,98,0.102
polymer_fiber_comparator,g_d_ratio,g_d_ratio,3,98,0.0306
polymer_fiber_comparator,ampacity,ampacity_A_m2,8,98,0.0816
